VESSEL,STATIONID,STRATUM,LONGITUDE,LATITUDE
V2,13-49,211,170.9047537,53.1000363
176,53-39,211,173.9118252,52.65511061
V2,58-38,211,174.2853338,52.61075909
176,59-37,211,174.3670234,52.5654405
V2,38-48,211,172.7816935,53.05630597
176,51-34,211,173.7590659,52.4338068
V2,54-39,211,173.9846065,52.65511074
176,58-37,211,174.294294,52.57252493
V2,57-38,211,174.2139123,52.61075906
176,52-39,211,173.8328547,52.6567303
V2,55-42,211,174.059099,52.77745997
176,39-48,211,172.8536997,53.05630592
V2,43-47,212,173.170661,53.02052804
176,38-39,212,172.7961759,52.66074212
V2,37-49,212,172.7238441,53.08916195
176,13-52,212,170.8908691,53.23581566
V2,12-45,212,170.8280666,52.92993151
176,13-49,212,170.8743426,53.12074653
V2,46-35,212,173.3822941,52.47896291
176,38-40,212,172.781694,52.69950808
V2,44-47,212,173.233083,53.01582963
176,50-28,212,173.6891887,52.18268707
V2,,212,,
176,14-49,212,170.9803312,53.1178316
V2,47-38,212,173.4583376,52.61075897
176,32-47,212,172.3366875,52.99341117
V2,54-33,212,173.9846077,52.38967836
176,33-43,212,172.4384324,52.83135479
V2,13-46,212,170.9026792,52.96629071
176,51-43,212,173.7533016,52.83295931
V2,60-36,212,174.4300413,52.52895664
176,12-53,212,170.8255618,53.27439919
V2,12-50,212,170.8485627,53.15183456
176,35-43,212,172.5519492,52.83295947
V2,37-40,212,172.7371028,52.68012538
176,48-37,212,173.533527,52.56645711
V2,58-36,212,174.2853345,52.52219689
176,,212,,
V2,57-36,212,174.2101464,52.52219689
176,14-50,212,170.9725386,53.14596657
V2,40-37,212,172.9527138,52.56941283
176,14-45,212,170.9683107,52.93946539
V2,55-36,212,174.059786,52.52219713
176,59-35,212,174.3529443,52.49101623
V2,13-50,212,170.9021635,53.1459668
176,34-44,212,172.4804928,52.87555908
V2,57-35,212,174.2101464,52.47797893
176,58-34,212,174.2691615,52.4462087
V2,33-44,212,172.4066847,52.87753629
176,32-44,212,172.3351684,52.88029476
V2,41-48,212,173.0059747,53.0624063
176,43-35,212,173.1576116,52.47797903
V2,40-38,212,172.9360927,52.61075912
176,36-42,212,172.6416431,52.78843012
V2,56-33,212,174.1349659,52.38967825
176,35-42,212,172.56023,52.80277843
V2,11-53,213,170.7494462,53.28984716
176,13-45,213,170.9025679,52.91470813
V2,32-47,213,172.327345,52.99963564
176,47-29,213,173.4600984,52.2244058
V2,12-45,213,170.8311886,52.90966844
176,60-36,213,174.4411633,52.50597792
V2,49-28,213,173.6107325,52.18522094
176,51-27,213,173.7809048,52.11859529
V2,31-44,213,172.2532293,52.8654052
176,31-45,213,172.2436412,52.93242932
V2,39-38,213,172.8511154,52.61382451
176,10-53,213,170.6704178,53.2864041
V2,58-33,213,174.2818311,52.40109284
176,10-54,213,170.6568884,53.32155105
V2,59-35,213,174.3683635,52.4681705
176,60-33,214,174.4302062,52.40565314
V2,31-43,214,172.252045,52.83452062
176,57-32,214,174.202853,52.34490176
V2,32-43,214,172.3340589,52.82669766
176,58-33,214,174.3101122,52.38091973
V2,30-46,214,172.1675754,52.96682806
176,29-43,214,172.108657,52.81864529
V2,79-19,221,175.8641544,51.77644866
176,79-20,221,175.8641541,51.81997448
V2,82-24,221,176.0856667,51.99165946
176,80-20,221,175.9161519,51.81670525
V2,78-18,221,175.7889742,51.73296299
176,85-28,221,176.315376,52.16766519
V2,84-29,221,176.2191436,52.20017725
176,77-18,221,175.7208122,51.73296298
V2,80-31,221,175.9407072,52.31877457
176,86-28,221,176.3855689,52.1630763
V2,79-33,221,175.8564282,52.38959174
176,84-27,222,176.250476,52.13345132
V2,79-24,222,175.9000354,52.01413602
176,86-25,222,176.4132,52.05560812
V2,81-29,222,176.0470066,52.21989559
176,90-23,222,176.6967205,51.94103662
V2,81-32,222,176.0079608,52.34855254
176,92-24,222,176.8493018,51.98415022
V2,81-30,222,176.0274625,52.25755948
176,81-26,222,176.0050822,52.07701805
V2,77-34,222,175.7406258,52.41256729
176,71-30,222,175.2626975,52.25756011
V2,82-30,222,176.0746416,52.26977083
176,89-22,222,176.6177887,51.92115924
V2,82-29,222,176.0879372,52.21716276
176,75-17,222,175.5771386,51.68951881
V2,75-34,222,175.5993671,52.45472689
176,72-30,222,175.32265,52.26045447
V2,91-23,222,176.760994,51.96797502
176,80-24,222,175.9271946,51.99774689
V2,81-31,222,176.0079253,52.30155689
176,79-31,222,175.8771693,52.30017067
V2,72-31,223,175.3436391,52.29701877
176,84-27,223,176.2403675,52.12349764
V2,78-31,223,175.8071182,52.30625506
176,79-30,223,175.881571,52.2644235
V2,73-30,223,175.4030175,52.25755989
176,,223,,
V2,86-32,223,176.3885887,52.34318687
176,89-22,223,176.6214703,51.90754775
V2,85-32,223,176.3497475,52.32713698
176,82-30,223,176.1020088,52.27728221
V2,70-30,223,175.1766166,52.26582942
176,69-26,224,175.1164771,52.07686066
V2,91-23,224,176.7698645,51.94230494
176,135-29,311,-179.9268466,52.2009848
V2,133-30,311,179.9239528,52.25756022
176,130-22,311,179.7021493,51.89405326
V2,131-22,311,179.7622386,51.9165879
176,139-36,311,-179.6298303,52.53107978
V2,130-26,311,179.6984132,52.08200975
176,131-28,311,179.7735925,52.16970002
V2,131-22,312,179.7774038,51.90143561
176,140-36,312,-179.5462311,52.51682101
V2,129-28,312,179.6232326,52.16970001
176,142-39,312,-179.3994115,52.65511076
V2,133-34,312,179.9239529,52.43380692
176,132-32,312,179.8487731,52.34559579
V2,125-23,312,179.3354892,51.94190571
176,125-25,313,179.3275334,52.0308485
V2,131-35,313,179.7744165,52.46257735
176,127-27,313,179.4690767,52.13142009
V2,126-25,313,179.3753743,52.05023028
